epoch,step,train_loss,train_r2,val_loss,val_r2
0,49,0.3054666817188263,0.7393156290054321,,
0,99,0.3913497030735016,0.6346951127052307,,
0,128,,,0.3675108253955841,0.6019924283027649
1,149,0.2825530171394348,0.6288373470306396,,
1,199,0.4971797466278076,0.33858156204223633,,
1,249,0.22643855214118958,0.843308687210083,,
1,257,,,0.30281931161880493,0.6790049076080322
2,299,0.2722196877002716,0.7412072420120239,,
2,349,0.3683587908744812,0.7089378833770752,,
2,386,,,0.29400360584259033,0.6886870265007019
3,399,0.7206554412841797,0.3481441140174866,,
3,449,0.27328693866729736,0.7015336751937866,,
3,499,0.1800149381160736,0.8361565470695496,,
3,515,,,0.28593626618385315,0.6968291401863098
4,549,0.307446151971817,0.6861302256584167,,
4,599,0.2042531669139862,0.7855203151702881,,
4,644,,,0.26135173439979553,0.7203509211540222
5,649,0.24398136138916016,0.7134788036346436,,
5,699,0.2210146188735962,0.7779541015625,,
5,749,0.2164284735918045,0.7921675443649292,,
5,773,,,0.26579442620277405,0.7200035452842712
6,799,0.4861023426055908,0.6824403405189514,,
6,849,0.30274876952171326,0.6641296744346619,,
6,899,0.19638459384441376,0.8442789912223816,,
6,902,,,0.2502043545246124,0.7341412305831909
7,949,0.25107142329216003,0.7208685874938965,,
7,999,0.36381036043167114,0.6972899436950684,,
7,1031,,,0.25891411304473877,0.7264270186424255
8,1049,0.3087293207645416,0.7737413644790649,,
8,1099,0.24554306268692017,0.7229952812194824,,
8,1149,0.26080262660980225,0.7659869194030762,,
8,1160,,,0.25022655725479126,0.7308886051177979
9,1199,0.45832908153533936,0.6169284582138062,,
9,1249,0.20996825397014618,0.8468025326728821,,
9,1289,,,0.37531039118766785,0.6142090559005737
10,1299,0.15372580289840698,0.8106590509414673,,
10,1349,0.4280935525894165,0.7063385248184204,,
10,1399,0.3117855191230774,0.768218994140625,,
10,1418,,,0.5345885157585144,0.4562229514122009
11,1449,0.19061671197414398,0.8419432640075684,,
11,1499,0.23756512999534607,0.7684693336486816,,
11,1547,,,0.24668297171592712,0.7322960495948792
12,1549,0.3205125033855438,0.5174745917320251,,
12,1599,0.18408624827861786,0.8465691208839417,,
12,1649,0.3042656183242798,0.6902607679367065,,
12,1676,,,0.23427079617977142,0.7486574053764343
13,1699,0.20958954095840454,0.7068423628807068,,
13,1749,0.30334150791168213,0.7375207543373108,,
13,1799,0.32985618710517883,0.62887042760849,,
13,1805,,,0.24361751973628998,0.7370014190673828
14,1849,0.3931627869606018,0.3691145181655884,,
14,1899,0.4374648928642273,0.40817588567733765,,
14,1934,,,0.2362159937620163,0.747097909450531
15,1949,0.22799476981163025,0.8161979913711548,,
15,1999,0.15967358648777008,0.8602227568626404,,
15,2049,0.194781094789505,0.8413829207420349,,
15,2063,,,0.5138726830482483,0.4761725664138794
